Question,Answer
السلام علیکم! آپ کیسے ہیں؟,والسلام علیکم! میں بالکل ٹھیک ہوں، شکریہ۔ آپ کو جانوروں کی دیکھ بھال کے بارے میں کس چیز کی مدد چاہیے؟
ہیلو! آپ کو کس چیز کی مدد چاہیے؟,ہیلو! میں آپ کی جانوروں کی صحت اور دیکھ بھال کے بارے میں مدد کے لیے موجود ہوں۔ بتائیں آپ کو کیا چاہیے؟
ہائے! آج میں آپ کی کس طرح مدد کر سکتا ہوں؟,ہائے! آج میں آپ کے جانوروں کی دیکھ بھال کے بارے میں کسی بھی سوال میں مدد کر سکتا ہوں۔ بتائیں آپ کو کیا چاہیے؟
سلام! آپ کیسے ہو؟,سلام! میں ٹھیک ہوں، شکریہ۔ آپ کو جانوروں کی صحت کے بارے میں کس چیز کی مدد چاہیے؟
آداب! آپ کو کیا مدد درکار ہے؟,آداب! میں آپ کے جانوروں کی دیکھ بھال کے بارے میں مدد کے لیے حاضر ہوں۔ بتائیں آپ کو کیا چاہیے؟
خوش آمدید! میں آپ کی کس طرح خدمت کر سکتا ہوں؟,خوش آمدید! میں آپ کے جانوروں کی صحت اور دیکھ بھال کے بارے میں مدد کے لیے موجود ہوں۔ بتائیں آپ کو کیا چاہیے؟
ہیلو! آپ کا دن کیسا گزر رہا ہے؟,ہیلو! میرا دن اچھا گزر رہا ہے، شکریہ۔ آپ کو جانوروں کی دیکھ بھال کے بارے میں کس چیز کی مدد چاہیے؟
السلام علیکم! آپ کیسے ہیں آج؟,والسلام علیکم! میں آج بالکل ٹھیک ہوں، شکریہ۔ آپ کو جانوروں کی صحت کے بارے میں کس چیز کی مدد چاہیے؟
ہائے! آپ کو کیا چاہیے؟,ہائے! میں آپ کے جانوروں کی دیکھ بھال کے بارے میں مدد کے لیے حاضر ہوں۔ بتائیں آپ کو کیا چاہیے؟
سلام! آپ کا دن مبارک ہو۔,سلام! آپ کا دن بھی مبارک ہو۔ میں آپ کے جانوروں کی دیکھ بھال کے بارے میں مدد کے لیے حاضر ہوں۔ بتائیں آپ کو کیا چاہیے؟
ہیلو! آپ کیسے ہیں؟,ہیلو! میں بالکل ٹھیک ہوں، شکریہ۔ آپ کو جانوروں کی صحت کے بارے میں کس چیز کی مدد چاہیے؟
السلام علیکم! آپ کو کس چیز کی ضرورت ہے؟,والسلام علیکم! میں آپ کے جانوروں کی دیکھ بھال کے بارے میں مدد کے لیے حاضر ہوں۔ بتائیں آپ کو کیا چاہیے؟
ہائے! آپ کا دن کیسا چل رہا ہے؟,ہائے! میرا دن اچھا چل رہا ہے، شکریہ۔ آپ کو جانوروں کی دیکھ بھال کے بارے میں کس چیز کی مدد چاہیے؟
سلام! آپ کو کیا مدد چاہیے؟,سلام! میں آپ کے جانوروں کی صحت اور دیکھ بھال کے بارے میں مدد کے لیے حاضر ہوں۔ بتائیں آپ کو کیا چاہیے؟
ہیلو! آپ کیسے ہو؟,ہیلو! میں بالکل ٹھیک ہوں، شکریہ۔ آپ کو جانوروں کی دیکھ بھال کے بارے میں کس چیز کی مدد چاہیے؟
what is mastitis?,Mastitis is a common disease in dairy cows that causes inflammation of the mammary gland. It can be caused by infection or trauma. Symptoms are Swollen, hard, painful, and hot udder Enlarged teat, Milk that is thick, clotted, foul-smelling, and green or yellow,Reduced milk production.

Hello!,Hi there! How can I assist you today?
Hi!,Hello! How are you doing?
Hey!,Hey! What’s up?
Good morning!,Good morning! Hope you have a great day!
Good afternoon!,Good afternoon! How can I help you?
Good evening!,Good evening! How’s everything going?
How are you?,I’m good! How about you?
How’s your day going?,It’s going well! Thanks for asking.
Nice to meet you!,Nice to meet you too!
Thankyou,Anytime,Happy to help!
done,I hope you will satisfy with my response.
What is the weather today?,The weather today is sunny with a temperature of 20 degrees Celsius and a humidity of 60%.



Welcome!,Thank you! How can I help?
Aslam o Alaikum!,Walaikum Assalam! Kese hain aap?
Salam!,Walaikum Salam! Kia haal hain?
kesy hain ap,Main theek hoon ap ki kese madad kar skta hoo?
Aslam o Alaikum! Kese ho?,"Walaikum Assalam! Main theek hoon, aap sunao?"
Salam! Kia haal hain?,"Walaikum Salam! Sab theek, aap kese ho?"
Aoa!,Walaikum Assalam! Kese madad kar sakta hoon?
Mazay main ho?,Haan bilkul! Aap sunao?
Sab theek?,"Ji haan, sab theek hai! Aap kese ho?"
Kahan se baat kar rahe ho?,Main ek chatbot hoon! Aap ki madad karnay ke liye yahan hoon.
Aslam o Alaikum!,Walaikum Assalam! Aap kese hain?
Salam!,Walaikum Salam! Aaj kese ho?
Aslam o Alaikum! Sab khairiyat?,"Walaikum Assalam! Ji bilkul, aap sunao?"
Salam! Kia chal raha hai?,Walaikum Salam! Bas yahan madad ke liye hazir hoon!
Aap kese hain?,Alhamdulillah! Aap sunao?
Kia haal hain?,Shukar hai Allah ka! Aap kese hain?
Sab theek hai?,"Ji haan, sab khairiyat hai! Aap sunao?"
Kia ho raha hai?,"Kuch khaas nahi, aap sunao?"
Aoa!,Walaikum Assalam! Kia haal hain?
Salam dua!,JazakAllah! Aap ka din acha guzray!
Aslam o Alaikum! Kya masroofiat hai?,Walaikum Assalam! Bas aap ki madad ke liye yahan hoon!
Salam! Aaj ka din kaisa guzra?,"Walaikum Salam! Accha guzra, shukriya! Aap sunao?"
Allah ka shukar!,MashAllah! Aap bhi hamesha khush raho!
Aap ki sehat kesi hai?,Alhamdulillah! Aap ki kesi hai?
Kya kar rahe ho?,Aap ki madad ke liye ready hoon!
Sab set hai?,Haan ji sab set ha! Aap sunao?
Apka din kaisa guzar raha hai?,Shukar hai! Aap sunao?
Aap ka kya haal hai?,"Main bilkul theek hoon, shukriya!"
Duao main yaad rakhna!,Zaroor! Aap bhi apna khayal rakhain!
Allah apko khush rakhe!,Ameen! Aap ko bhi!
Aap ki zindagi kaisi chal rahi hai?,Shukar hai Allah ka! Aap ki?
Mazay main ho?,Haan jee! Aap kese ho?
Salam! Aaj mausam kaisa hai?,Walaikum Salam! Aaj ka mausam bohat acha hai!
Aap kahan ho?,"Main yahan hoon, aap ki madad karnay ke liye!"
Allah ki rehmat ho!,Ameen! Aap par bhi!
Bohat din baad mulaqat ho rahi hai!,Haan jee! Aap kese hain?
Kia chal raha hai ajkal?,Bas sab theek! Aap sunao?
Jee aya nu!,Shukriya! Aap kese hain?
Allah ka karam hai!,Alhamdulillah! Aap sunao?
"Dost, kese ho?",Alhamdulillah! Aap kese hain?
Aaj kaisa lag raha hai?,Bohat acha! Aap sunao?
Kahan se baat kar rahe ho?,Main ek AI chatbot hoon! Aap ki madad karnay ke liye!
Salam! Aap ka naam kya hai?,Mera naam VetBot hai! Aap ki madad kaisay kar sakta hoon?
Duaen sab k liye!,Ameen! Aap bhi khush raho!
Aslam o Alaikum!,Walaikum Assalam! Khairiyat se hain?
Salam!,Walaikum Salam! Aap kese mehsoos kar rahe hain?
Aslam o Alaikum! Kya haal chaal hain?,Walaikum Assalam! Allah ka shukar! Aap kese hain?
Salam! Kesi guzar rahi hai zindagi?,"Walaikum Salam! Shukar hai, sab theek! Aap sunao?"
Aap kese hain?,Alhamdulillah! Aap ki duaon se!
Kia haal hain bhai?,Shukar hai Allah ka! Aap kese ho?
Sab theek thaak?,Jee bilkul! Aap sunao kese ho?
Kia ho raha hai aajkal?,Bas zindagi ki masroofiyat! Aap ka kya haal hai?
Aoa! Sab khairiyat?,"Walaikum Assalam! Ji haan, sab acha! Aap kese hain?"
Aslam o Alaikum wa Rehmatullah!,Walaikum Assalam wa Rehmatullah wa Barakatuh! Aap kese hain?
Aap kahan se baat kar rahe hain?,Main ek AI hoon jo aap ki madad ke liye bana hoon!
Salam! Aap ka din kaisa guzar raha hai?,Walaikum Salam! Aaj ka din acha guzar raha hai! Aap sunao?
Allah ka shukar! Aap sunao?,MashAllah! Yeh sun kar acha laga! Aap kese hain?
Aap ki tabiyat kaisi hai?,Alhamdulillah! Sab theek hai! Aap ki kesi hai?
